序号,性别,性别,月生活费,手机购买价格,笔记本电脑购买价格,笔记本电脑使用月数,笔记本电脑用户类型 ,笔记本电脑品牌偏好设置
1,1,男,2000,5000,6000,20,游戏玩家,高性价比
2,1,男,1500,2400,5700,1,软件开发,主流商务
3,1,男,1000,2500,8000,18,游戏玩家,专业游戏
4,1,男,2000,7999,11999,6,日常办公,高端设计
5,2,女,2000,3100,5999,18,日常办公,专业游戏
6,1,男,2500,5988,7800,2,游戏玩家,主流商务
7,2,女,800,2100,6400,19,日常办公,高性价比
8,2,女,2500,3900,8000,20,日常办公,主流商务
9,1,男,1500,2100,6400,13,游戏玩家,主流商务
10,1,男,2500,9900,7800,4,日常办公,专业游戏
11,1,男,2000,5500,6000,20,日常办公,主流商务
12,1,男,2000,6000,7000,18,游戏玩家,专业游戏
13,2,女,2700,7999,6500,6,日常办公,主流商务
14,2,女,1500,2000,5000,17,游戏玩家,主流商务
15,2,女,2500,10000,0,0,视觉创作,主流商务
16,2,女,2000,5199,8999,6,日常办公,高性价比
17,2,女,1500,8000,6000,18,日常办公,主流商务
18,1,男,2500,3000,8000,19,游戏玩家,高性价比
19,2,女,2500,5690,5999,20,日常办公,主流商务
20,2,女,2000,5500,7500,18,日常办公,主流商务
21,2,女,1500,3000,7000,15,日常办公,主流商务
22,2,女,1500,6000,7000,18,日常办公,主流商务
23,2,女,1700,3900,4300,18,日常办公,主流商务
24,2,女,2500,10000,6300,36,日常办公,主流商务
25,2,女,2200,2900,5100,17,游戏玩家,高性价比
26,2,女,1500,6000,7000,62,日常办公,主流商务
27,1,男,2000,3400,5600,6,日常办公,主流商务
28,2,女,2000,5999,6789,24,游戏玩家,专业游戏
29,2,女,2000,3200,5400,18,软件开发,专业游戏
30,2,女,2000,5499,5320,17,游戏玩家,主流商务
31,2,女,2000,1800,3000,15,视觉创作,高性价比
32,2,女,1800,3400,4000,41,日常办公,主流商务
33,1,男,1500,3700,6500,20,游戏玩家,专业游戏
34,2,女,3000,10999,6199,4,日常办公,主流商务
35,2,女,1500,7900,4500,19,日常办公,主流商务
36,2,女,1700,2500,5000,30,软件开发,高性价比
37,2,女,2000,4500,6700,18,日常办公,高性价比
38,2,女,1600,6000,6000,18,视觉创作,主流商务
39,2,女,2000,7500,4700,12,游戏玩家,高性价比
40,2,女,1500,5000,3000,24,日常办公,主流商务
41,1,男,2000,5300,5000,12,游戏玩家,高性价比
42,1,男,2000,4500,7299,18,游戏玩家,主流商务
43,2,女,7000,2390,6600,9,日常办公,主流商务
44,2,女,2000,7000,6500,18,游戏玩家,高端设计
45,2,女,1800,4900,6900,19,日常办公,主流商务
46,2,女,1400,2450,7800,12,日常办公,主流商务
47,1,男,1000,2200,6200,21,游戏玩家,主流商务
48,2,女,2000,5600,5800,20,日常办公,主流商务
49,2,女,2000,7000,3500,19,日常办公,主流商务
50,2,女,1000,2200,4500,18,日常办公,主流商务
51,1,男,1500,1200,5500,6,日常办公,主流商务
52,2,女,2000,6499,7999,18,游戏玩家,专业游戏
53,2,女,2000,8700,9300,26,视觉创作,专业游戏
54,2,女,4000,3599,4099,36,日常办公,主流商务
55,2,女,32679,3105,4200,12,日常办公,主流商务
56,2,女,2200,6000,6000,18,日常办公,主流商务
57,2,女,2000,1200,2900,10,日常办公,主流商务
58,2,女,1500,2200,4600,6,日常办公,主流商务
59,2,女,1800,2100,3197,19,日常办公,高性价比
60,2,女,2300,7000,4000,20,日常办公,主流商务
61,2,女,2500,7999,3999,36,日常办公,主流商务
62,2,女,1600,3900,6000,13,日常办公,专业游戏
63,2,女,2000,7000,8000,24,日常办公,高性价比
64,2,女,1800,2600,10000,24,视觉创作,主流商务
65,2,女,1800,4500,5500,14,日常办公,主流商务
66,2,女,1600,1700,1800,16,日常办公,主流商务
67,1,男,2200,2400,8500,16,游戏玩家,主流商务
68,2,女,2500,5299,9600,21,日常办公,高端设计
69,2,女,1500,2300,3000,18,日常办公,主流商务
70,2,女,1000,3499,4400,18,日常办公,主流商务
71,2,女,800,5499,8999,14,日常办公,主流商务
72,2,女,1500,6000,6000,12,日常办公,高性价比
73,2,女,1500,1800,0,0,日常办公,主流商务
74,1,男,1500,1600,6500,15,游戏玩家,专业游戏
75,2,女,2000,5500,5000,18,日常办公,主流商务
76,2,女,10000,1700,4900,19,日常办公,高性价比
77,2,女,2700,5800,5400,30,日常办公,高端设计
78,2,女,1500,5000,5000,12,日常办公,主流商务
79,2,女,2500,6999,7688,12,游戏玩家,主流商务
80,2,女,1500,2500,3800,12,日常办公,主流商务
81,2,女,1500,2000,2000,24,日常办公,高性价比
82,2,女,2700,6999,4988,18,日常办公,主流商务
83,2,女,2000,3000,4000,18,日常办公,高性价比
84,2,女,2000,8900,5000,18,日常办公,主流商务
85,2,女,2400,4200,8000,36,游戏玩家,专业游戏
86,2,女,2300,1600,3600,48,视觉创作,高性价比
87,2,女,1300,3300,2300,6,软件开发,主流商务
88,2,女,2300,5100,3800,17,日常办公,主流商务
89,2,女,2000,2500,4400,15,日常办公,主流商务
90,2,女,2500,1400,2900,24,日常办公,主流商务
91,2,女,2100,3000,5000,19,日常办公,主流商务
