样本,性别,年龄,工龄,学历,所属行业,居住区域,通勤方式,主要通勤时间,通勤距离,通勤时间,通勤费用,通勤体验,改善偏好
1,男,34,6,本科,金融,天河区,私家车,7:00-8:00,20,30,230,拥堵,改善交通设施
2,女,24,2,硕士/博士,金融,天河区,地铁,7:00-8:00,20,30,100,拥堵,调整工作时间
3,男,35,8,本科,教育科研,增城区,地铁,7:00-8:00,35,45,150,拥堵,更换居住地
4,女,25,3,本科,制造业,天河区,地铁,7:00-8:00,8,20,170,拥堵,改善交通设施
5,女,24,4,本科,教育科研,白云区,自行车,6:00-7:00,10,40,50,时间长,调整工作时间
6,女,27,2,本科,金融,天河区,公交,9:00-10:00,8,17,150,拥堵,更换居住地
7,女,22,2,大专,金融,海珠区,地铁,6:00-7:00,10,25,100,拥堵,调整工作时间
8,男,30,5,硕士/博士,制造业,番禺区,自行车,7:00-8:00,6,17,100,时间长,远程办公
9,男,25,4,大专,制造业,海珠区,电动车/摩托车,8:00-9:00,7,9,30,拥堵,调整工作时间
10,女,22,3,高中,建筑/房地产,越秀区,电动车/摩托车,6:00-7:00,5,7,30,拥堵,更换居住地
11,女,22,3,本科,金融,番禺区,电动车/摩托车,7:00-8:00,8,10,120,时间长,远程办公
12,男,24,3,大专,互联网/IT,白云区,私家车,7:00-8:00,8,6,50,成本高,远程办公
13,女,22,3,本科,政府事业单位,天河区,地铁,7:00-8:00,10,35,130,拥堵,更换居住地
14,男,28,4,本科,制造业,天河区,地铁,7:00-8:00,8,25,180,环境拥挤,远程办公
15,男,27,3,大专,金融,天河区,私家车,8:00-9:00,10,9,30,成本高,远程办公
16,女,22,1,大专,医疗健康,海珠区,电动车/摩托车,8:00-9:00,10,10,40,环境拥挤,远程办公
17,女,29,1,大专,金融,海珠区,地铁,6:00-7:00,6,10,40,时间长,远程办公
18,女,28,4,大专,医疗健康,番禺区,电动车/摩托车,8:00-9:00,5,10,40,环境拥挤,远程办公
19,女,27,4,本科,金融,海珠区,出租车/网约车,7:00-8:00,6,8,50,环境拥挤,远程办公
20,女,24,4,本科,教育科研,白云区,电动车/摩托车,7:00-8:00,10,14,40,环境拥挤,更换居住地
21,男,28,1,大专,金融,白云区,公交,6:00-7:00,10,30,100,时间长,远程办公
22,女,27,4,大专,金融,番禺区,地铁,6:00-7:00,8,10,180,时间长,远程办公
23,男,23,2,本科,互联网/IT,天河区,自行车,7:00-8:00,10,40,40,环境拥挤,远程办公
24,女,23,1,大专,互联网/IT,白云区,地铁,6:00-7:00,10,15,140,环境拥挤,更换居住地
25,女,27,2,大专,金融,白云区,出租车/网约车,7:00-8:00,8,10,180,成本高,远程办公
26,女,24,3,大专,教育科研,天河区,自行车,9:00-10:00,8,20,50,拥堵,远程办公
27,男,30,2,本科,互联网/IT,天河区,私家车,6:00-7:00,6,10,50,拥堵,调整工作时间
28,女,29,5,硕士/博士,制造业,越秀区,出租车/网约车,8:00-9:00,6,10,50,拥堵,调整工作时间
29,男,30,1,本科,制造业,海珠区,出租车/网约车,8:00-9:00,10,20,40,成本高,改善交通设施
30,男,23,5,大专,制造业,白云区,电动车/摩托车,7:00-8:00,8,12,40,成本高,更换居住地
31,男,27,1,大专,医疗健康,越秀区,电动车/摩托车,7:00-8:00,8,10,40,环境拥挤,更换居住地
32,男,22,5,本科,制造业,海珠区,电动车/摩托车,7:00-8:00,8,8,20,环境拥挤,调整工作时间
33,男,26,1,本科,医疗健康,越秀区,步行,7:00-8:00,5,10,40,时间长,远程办公
34,男,24,3,大专,制造业,番禺区,自行车,8:00-9:00,6,9,50,环境拥挤,远程办公
35,男,29,3,本科,金融,白云区,地铁,6:00-7:00,10,34,20,环境拥挤,远程办公
36,女,25,2,大专,金融,越秀区,出租车/网约车,6:00-7:00,10,30,140,成本高,调整工作时间
37,女,22,5,本科,医疗健康,白云区,自行车,6:00-7:00,10,30,50,拥堵,远程办公
38,男,24,3,本科,制造业,天河区,电动车/摩托车,8:00-9:00,8,18,40,拥堵,调整工作时间
39,男,28,2,本科,金融,天河区,地铁,8:00-9:00,8,17,150,拥堵,远程办公
40,男,30,2,大专,建筑/房地产,越秀区,私家车,8:00-9:00,8,20,40,拥堵,远程办公
41,男,22,4,大专,医疗健康,越秀区,出租车/网约车,6:00-7:00,10,26,40,时间长,远程办公
42,女,25,5,本科,金融,天河区,私家车,8:00-9:00,5,10,240,成本高,调整工作时间
43,男,23,1,大专,金融,番禺区,地铁,6:00-7:00,10,8,30,环境拥挤,更换居住地
44,男,27,1,硕士/博士,医疗健康,番禺区,私家车,8:00-9:00,6,10,50,成本高,更换居住地
45,女,25,2,本科,金融,白云区,自行车,7:00-8:00,10,10,50,环境拥挤,远程办公
46,女,22,4,大专,教育科研,白云区,电动车/摩托车,8:00-9:00,5,9,50,环境拥挤,更换居住地
47,男,28,1,本科,医疗健康,番禺区,出租车/网约车,7:00-8:00,8,10,50,拥堵,更换居住地
48,女,28,3,本科,金融,白云区,地铁,6:00-7:00,10,38,140,拥堵,更换居住地
49,男,23,3,大专,教育科研,越秀区,电动车/摩托车,7:00-8:00,5,9,130,拥堵,远程办公
50,男,24,2,本科,制造业,白云区,步行,8:00-9:00,6,9,20,时间长,更换居住地
51,女,26,2,本科,医疗健康,海珠区,公交,7:00-8:00,8,10,50,环境拥挤,远程办公
52,女,25,5,大专,金融,越秀区,私家车,6:00-7:00,10,8,50,拥堵,远程办公
53,女,29,1,高中,医疗健康,天河区,私家车,6:00-7:00,10,10,40,拥堵,远程办公
54,女,30,1,大专,医疗健康,番禺区,电动车/摩托车,8:00-9:00,10,9,30,拥堵,更换居住地
55,男,29,4,大专,制造业,天河区,公交,8:00-9:00,6,20,50,环境拥挤,调整工作时间
56,女,29,2,大专,医疗健康,番禺区,公交,6:00-7:00,10,9,20,环境拥挤,更换居住地
